x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
1100.0,-107.03633143781353,-102.03633143781353,-97.03633143781353,-92.03633143781353,-87.03633143781353,-82.03633143781352,-77.03633143781352,-72.03633143781352,-67.0363314378135,-62.03633143781351,-57.03633143781351,-52.036331437813516,-47.036331437813516,-42.03633143781352,-37.03633143781352,-32.03633143781352,-27.036331437813526,-22.036331437813526,-17.036331437813526,-12.036331437813526
1125.0,-109.7918033022686,-104.7918033022686,-99.7918033022686,-94.7918033022686,-89.79180330226862,-84.79180330226862,-79.79180330226862,-74.79180330226862,-69.79180330226862,-64.79180330226862,-59.791803302268626,-54.79180330226862,-49.79180330226862,-44.79180330226862,-39.79180330226861,-34.79180330226861,-29.791803302268608,-24.791803302268608,-19.791803302268608,-14.791803302268608
1150.0,-112.5966685645298,-107.5966685645298,-102.5966685645298,-97.5966685645298,-92.5966685645298,-87.5966685645298,-82.5966685645298,-77.5966685645298,-72.5966685645298,-67.5966685645298,-62.59666856452981,-57.59666856452981,-52.59666856452981,-47.59666856452981,-42.59666856452981,-37.59666856452981,-32.59666856452981,-27.596668564529807,-22.596668564529807,-17.596668564529807
1175.0,-115.45124696140284,-110.45124696140286,-105.45124696140286,-100.45124696140286,-95.45124696140287,-90.45124696140287,-85.45124696140289,-80.45124696140289,-75.4512469614029,-70.4512469614029,-65.4512469614029,-60.45124696140291,-55.45124696140291,-50.45124696140291,-45.45124696140291,-40.45124696140291,-35.45124696140291,-30.451246961402912,-25.451246961402912,-20.451246961402912
1200.0,-118.35584243286624,-113.35584243286624,-108.35584243286624,-103.35584243286621,-98.35584243286621,-93.35584243286621,-88.35584243286621,-83.35584243286621,-78.35584243286618,-73.35584243286618,-68.35584243286618,-63.35584243286618,-58.35584243286618,-53.35584243286618,-48.35584243286618,-43.35584243286618,-38.35584243286618,-33.35584243286618,-28.355842432866183,-23.355842432866183
1225.0,-121.31074254639687,-116.31074254639688,-111.31074254639688,-106.31074254639688,-101.31074254639688,-96.31074254639688,-91.3107425463969,-86.3107425463969,-81.3107425463969,-76.3107425463969,-71.3107425463969,-66.31074254639691,-61.3107425463969,-56.31074254639691,-51.31074254639691,-46.31074254639691,-41.31074254639692,-36.31074254639692,-31.31074254639692,-26.31074254639692
1250.0,-124.31621792031457,-119.31621792031457,-114.31621792031459,-109.31621792031457,-104.31621792031459,-99.31621792031459,-94.3162179203146,-89.3162179203146,-84.3162179203146,-79.31621792031461,-74.31621792031461,-69.31621792031463,-64.31621792031463,-59.31621792031463,-54.31621792031463,-49.31621792031463,-44.31621792031463,-39.31621792031463,-34.31621792031463,-29.316217920314628
1275.0,-127.37252164666337,-122.37252164666337,-117.37252164666337,-112.37252164666339,-107.37252164666339,-102.3725216466634,-97.3725216466634,-92.3725216466634,-87.37252164666342,-82.37252164666342,-77.37252164666342,-72.37252164666343,-67.37252164666343,-62.37252164666344,-57.37252164666344,-52.37252164666344,-47.37252164666344,-42.37252164666344,-37.37252164666344,-32.37252164666344
1300.0,-130.3339969843619,-125.18615420324444,-120.03759194049711,-114.88215967930076,-109.72639593618601,-104.57554141972933,-99.42959084829467,-94.27335997406277,-89.1252948549889,-83.97336906236262,-78.82375337961801,-73.67061869212426,-68.51362464066787,-63.35820218276913,-58.20828542078743,-53.058417883315634,-47.898867854332174,-42.74827870852482,-37.592342660036444,-32.43766707721589
1325.0,-133.33471136613767,-128.02893624913727,-122.72244165050702,-117.40907705342772,-112.09538097443004,-106.78659412209043,-101.48271121477283,-96.168548004658,-90.8625505497012,-85.55269242119199,-80.24514440256445,-74.93407737918777,-69.61915099184844,-64.30579619806677,-58.99794710020213,-53.690147226847394,-48.372664861980994,-43.0641433802907,-37.75027499591938,-32.43766707721589
1350.0,-136.38432861688557,-130.9180473287932,-125.45104655907095,-119.97717579089965,-114.50297354080998,-109.03368051737837,-103.56929143896878,-98.09462205776195,-92.62811843171315,-87.15775413211195,-81.68969994239241,-76.21812674792373,-70.74269418949241,-65.26883322461875,-59.80047795566211,-54.332171911215376,-48.85418337525698,-43.38515572247469,-37.91078116701138,-32.43766707721589
1375.0,-139.4830171009207,-133.85364694524753,-128.22355730794447,-122.5865976721924,-116.94930655452193,-111.31692466350952,-105.68944671751913,-100.0516884687315,-94.42209597510191,-88.78864280791991,-83.15749975061956,-77.5228376885701,-71.88431626255797,-66.24736643010351,-60.615922293566086,-54.98452738153856,-49.34344997799937,-43.711333457636286,-38.073870034592176,-32.43766707721589
1400.0,-142.63092580297533,-136.83587624193086,-131.04010719925648,-125.2374681581331,-119.43449763509133,-113.63643633870764,-107.84327898734595,-102.03984133318704,-96.24456943418615,-90.44543686163286,-84.64861439896121,-78.84827293154046,-73.04407210015704,-67.24144286233128,-61.44431932042256,-55.647245003023734,-49.84048819411325,-44.04269226837887,-38.23954943996347,-32.43766707721589
1425.0,-145.8281837884228,-139.86485749130213,-133.9008117125516,-127.92989593535202,-121.95864867623408,-115.9923106437742,-110.03087655633634,-104.05916216610123,-98.09561353102417,-92.1282042223947,-86.16310502364688,-80.19448682014993,-74.22200925269034,-68.2511032787884,-62.285703000803494,-56.32035194732848,-50.34531840234181,-44.379245740531246,-38.407826176039656,-32.43766707721589
